Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.002000	2.644000	10.381000	15.388000	2.542000	15.104000	20.472000	
1.000000	0.002000	2.518000	16.699000	23.130000	2.414000	22.451000	29.459000	
2.000000	0.002000	2.391000	24.341000	31.979000	2.294000	30.524000	39.209000	
3.000000	0.002000	2.295000	30.460000	39.721000	2.266000	34.961000	41.117000	
4.000000	0.002000	2.248000	33.950000	43.566000	2.226000	36.570000	45.697000	
5.000000	0.002000	2.200000	37.283000	47.410000	2.173000	39.723000	48.161000	
6.000000	0.001999	2.164000	41.285000	50.500000	2.175000	38.195000	47.467000	
7.000000	0.001999	2.130000	45.310000	53.625000	2.041000	51.433000	59.126000	
8.000000	0.001999	2.094000	47.870000	56.048000	2.057000	45.278000	55.344000	
9.000000	0.001999	2.051000	50.995000	58.998000	2.008000	56.649000	61.416000	
10.000000	0.001998	2.018000	53.896000	61.543000	1.908000	60.080000	67.280000	
11.000000	0.001998	1.993000	55.978000	63.176000	1.927000	60.503000	65.371000	
12.000000	0.001998	1.963000	58.788000	65.449000	1.877000	64.376000	69.709000	
13.000000	0.001997	1.943000	60.325000	66.573000	1.912000	62.351000	66.898000	
14.000000	0.001997	1.926000	62.642000	68.390000	1.938000	59.592000	64.677000	
15.000000	0.001997	1.904000	63.912000	69.470000	1.886000	65.218000	69.223000	
16.000000	0.001996	1.895000	64.749000	69.909000	1.833000	69.036000	72.797000	
17.000000	0.001996	1.884000	66.688000	71.278000	1.879000	66.726000	69.604000	
18.000000	0.001995	1.868000	67.776000	72.147000	1.835000	67.758000	72.068000	
19.000000	0.001995	1.856000	69.211000	73.332000	1.831000	68.190000	72.380000	
20.000000	0.001994	1.848000	69.134000	73.402000	1.819000	69.809000	73.525000	
21.000000	0.001993	1.839000	70.837000	74.666000	1.766000	73.612000	76.787000	
22.000000	0.001993	1.824000	71.756000	75.527000	1.792000	70.461000	75.295000	
23.000000	0.001992	1.813000	71.862000	75.729000	1.774000	73.308000	77.203000	
24.000000	0.001992	1.807000	73.104000	76.510000	1.782000	73.145000	76.058000	
25.000000	0.001991	1.794000	73.755000	77.080000	1.761000	74.440000	77.689000	
26.000000	0.001990	1.791000	74.197000	77.660000	1.745000	75.594000	78.730000	
27.000000	0.001989	1.781000	75.763000	78.134000	1.734000	77.228000	79.667000	
28.000000	0.001989	1.769000	76.574000	79.398000	1.767000	74.509000	76.648000	
29.000000	0.001988	1.769000	76.510000	79.336000	1.741000	74.942000	79.112000	
30.000000	0.001987	1.758000	77.064000	79.881000	1.736000	76.116000	79.042000	
31.000000	0.001986	1.751000	77.663000	80.118000	1.731000	77.850000	80.465000	
32.000000	0.001985	1.744000	78.498000	80.829000	1.791000	72.749000	76.162000	
33.000000	0.001984	1.748000	77.975000	80.460000	1.729000	76.836000	79.424000	
